Rank,PackageId,Version,TotalDownloads,DetectedFrameworks,Description
186,MarkdownSnippets.Tool,28.0.1,337458,CommandLineParser,.NET Core Global Tool for merging code snippets with markdown documents
187,dotnet-execute,0.35.0,335712,System.CommandLine,`dotnet-exec` is a command-line tool for excuting C# program with custom entry point
188,nanoff,2.5.131,335576,CommandLineParser,.NET nanoFirmwareFlasher tool to flash firmware images to target devices.
189,Amazon.ECS.Tools,4.0.1,334286,Unknown/Custom,"Amazon.ECS.Tools adds commands to the dotnet cli to deploy .NET Core applications to Amazon Elastic Container Service. For example to deploy an ASP.NET Core application from the command execute ""dotnet ecs deploy-service"" on the command line."
190,boots,1.1.0.36,333923,System.CommandLine,"boots is a dotnet global tool for ""bootstrapping"" vsix & pkg files."
191,Microsoft.CST.ApplicationInspector.CLI,1.9.55,330426,CommandLineParser,"Microsoft Application Inspector is a software source code analysis tool that helps identify and surface well-known features and other interesting characteristics of source code to aid in determining what the software is or what it does. This is a dotnet tool package. For the library, see Microsoft.CST.ApplicationInspector."
192,SignClient,1.3.155,324001,Microsoft.Extensions.CommandLineUtils,Client-side tools for the .NET Foundation Sign Service
193,dotnet-deb,0.1.232,322587,System.CommandLine,"Create Debian and Ubuntu installers (.deb files ) of your .NET Core projects straight from the command line.

Once you've installed this package as a .NET CLI tool, run dotnet deb to generate a .deb file which contains the publish output of your .NET Project.

See https://github.com/qmfrederik/dotnet-packaging/ for more information on how to use dotnet deb."
194,Volo.Abp.Studio.Cli,2.2.4,317556,Unknown/Custom,Package Description
195,pbm,1.5.0,316943,Unknown/Custom,CLI for managing Akka.NET applications and Akka.NET Clusters.
196,sergen,10.2.2,315219,Unknown/Custom,Package Description
197,clio,8.0.2.45,312548,CommandLineParser,CLI interface for Creatio
198,CodeQualityToGitlab,2.0.0,310046,System.CommandLine,Convert Dotnet warnings into Gitlab code quality format
199,Femto,0.21.0,307066,Argu,Package Description
200,trgen,0.23.42,303536,CommandLineParser,"Generate a parser application using the Antlr tool and application templates.
This program is part of the Trash toolkit."
201,ARI,2026.2.11.743,300359,Spectre.Console.Cli,Azure Resource Inventory .NET Tool - Inventories and documents Azure Tenant resources
202,lbi,1.0.17,299590,Unknown/Custom,"List all assembly versions and signed flags for all dlls in current directory and all subdirectories, or print directory contents recursively (to a file)."
203,UnpackDacPac,2026.2.11.292,298543,Spectre.Console.Cli,Unpack DAC Package .NET Tool - Extracts dacpac and generates deployment script to target folder without need for actual database running.
204,DPI,2026.2.11.364,293534,Spectre.Console.Cli,Dependency Inventory .NET Tool - Inventories dependencies to Azure Log Analytics
205,DNT,3.0.0,291904,Unknown/Custom,"Command line tools to manage .NET Core, Standard and SDK-style projects and solutions."
206,trwdog,0.23.42,291384,CommandLineParser,"Execute a command with a watchdog timer.
This program is part of the Trash toolkit."
207,fsautocomplete,0.83.0,282546,System.CommandLine,A community-developed Language Server Protocol implementation for F#
208,Beamable.Tools,7.0.0,282360,System.CommandLine; CommandLineParser,"The Beamable.Tools package is a dotnet tool that connects to the Beamable API and allows developers
      to manage their Beamable resources via the CLI."
209,dotnet-retest,1.0.0,282079,System.CommandLine; Spectre.Console.Cli; Mono.Options / NDesk.Options,Package Description
210,nventive.NuGet.Updater.Tool,2.1.1,280887,Mono.Options / NDesk.Options,A netcore version of the NuGet updater
211,ElectronNET.CLI,23.6.2,280794,Unknown/Custom,"Building cross platform electron based desktop apps with .NET Core and ASP.NET Core.
      This package contains the dotnet tooling to electronize your application."
212,Curiosity.CLI,26.3.65335,279825,System.CommandLine,The official .NET command line tool for the Curiosity Search engine (https://curiosity.ai).
213,GrapeCity.LicenseManagerTool,2.0.0,279358,Unknown/Custom,Package Description
214,dotnet-xunit-to-junit,7.0.1,278147,Unknown/Custom,Transforms a xUnit.net v2 XML test results file into a JUnit test results file.
215,Crono,26.9.0,277581,Unknown/Custom,"Crono es la aplicación de línea de comandos de Crono Business Intelligence. 

Permite ejecutar trabajos Crono (*.job)."
216,dotnet-trx-merge,2.2.0,276314,System.CommandLine,Allow the merge of several trx files in a single one
217,dotnet-grpc,2.76.0,273419,System.CommandLine,Command line tool for gRPC projects
218,dotnet-repl,0.3.250,271495,System.CommandLine,"A polyglot command line REPL for C#, F#, SQL, and other languages."
219,GroupDocs.Viewer-CLI,26.3.0,268450,Unknown/Custom,"View documents in the browser from your terminal. Run 'groupdocs-viewer' in any folder to start a local web server with an interactive document viewer. Supports 180+ file formats including PDF, Word, Excel, PowerPoint, images, CAD, archives, ebooks, and source code."
220,Microsoft.OData.Cli,0.3.1,267145,System.CommandLine,The odata-cli is a CLI tool for generating strongly typed C# and Visual Basic client code for a specified OData service. It generates a DataServiceContext class to interact with the service and CLR types for each entity type and complex type in the service model. It does exactly what the OData Connected Service does.
221,dbup-cli,1.8.1,258386,CommandLineParser,"Command line tool, that can be installed as a .Net global tool, that helps you to deploy changes to databases. It tracks which SQL scripts have been run already, and runs the change scripts that are needed to get your database up to date."
222,Equinox.Tool,4.1.2,257524,Argu,Efficient event sourced decisions and data
223,ZeroQL.Cli,8.0.0,256605,CliFx,The ZeroQL CLI to generate C# classes from *.graphql files.
224,dotnetsay,3.0.3,254492,Unknown/Custom,A simple .NET tool that prints dotnetbot
225,PeakSWC.RemoteWebViewService,9.0.6,254479,Unknown/Custom,This package will transport the user interface from an app built using RemoteBlazorWebView to a server running in the cloud. This allows an app running behind a firewall to be accessed through a browser via a cloud server.
226,BRI,2026.2.11.700,253693,Spectre.Console.Cli,Bicep Registry Inventory .NET Tool - Inventories and documents Bicep modules in a Azure container registry
227,resharper-to-codeclimate,1.0.13,252350,Unknown/Custom,Converts a ReSharper inspectcode xml report file to a Code Climate json report file.
228,Apprio.Enablement.Infrastructure.ServiceBuilder,15.18.1,251533,Unknown/Custom,Package Description
229,Redth.Net.Maui.Check,2.0.0,250402,Spectre.Console.Cli,A dotnet tool for helping set up your .NET MAUI environment
230,linux-dev-certs,0.5.1,248728,System.CommandLine,Tool to install ASP.NET Core developer certificates on Linux.
231,Pimix.Apps.FileUtil,12.2.1,243929,CommandLineParser,Utility to manage files.
232,dotnet-rpm,0.1.232,241012,System.CommandLine,"Create RPM packages (.rpm files) of your .NET Core projects straight from the command line.

Once you've installed this package as a .NET CLI tool, run dotnet rpm to generate a .rpm package which contains the publish output of your .NET Project.

See https://github.com/qmfrederik/dotnet-packaging/ for more information on how to use dotnet rpm."
233,CheckNugetPackages.DotNetCliTool,3.1.0,239424,Unknown/Custom,Package Description
234,h5-compiler,26.3.65450,232484,Unknown/Custom,The C# to JavaScript compiler 🚀
235,TddXt.TrxConverter,1.8.0,231023,CommandLineParser,Package Description
236,dotnet-retire,5.0.0,229225,Unknown/Custom,A tool to check dependencies for versions with known vulnerabilities.
237,ChangeDisplaySettings,0.0.3,228698,CommandLineParser,Sets display resolution info on Windows
238,retypeapp,4.4.0,226924,System.CommandLine,Retype is an ultra-high-performance-magical generator that builds a website based on simple text files.
239,IntuneAppBuilder.Console,4.0.0,225870,System.CommandLine,IntuneAppBuilder creates and deploys Intune packages for MSI and Win32 applications. This dotnet tool converts installation files into the .intunewin format that can then be published using the tool or uploaded manually into the Intune Portal.
240,trxml2,0.23.42,225051,CommandLineParser,"Read an xml file and enumerate all paths to elements in xpath syntax.
This program is part of the Trash toolkit."
241,ater.dry,9.0.1,224953,System.CommandLine; CommandLineParser,DRY代码生成助手
242,Evolve.Tool,3.2.0,224579,McMaster.Extensions.CommandLineUtils,"Evolve is an easy migration tool that uses plain old sql scripts. Its purpose is to automate your database changes, and help keep those changes synchronized through all your environments and developpement teams.
Every time you build your project, it will automatically ensure that your database is up-to-date, without having to do anything other than build. Install it and forget it !"
243,Microsoft.dotnet-httprepl,8.0.0,223909,Unknown/Custom,"The HTTP Read-Eval-Print Loop (REPL) is a lightweight, cross-platform command-line tool that's supported everywhere .NET Core is supported and is used for making HTTP requests to test ASP.NET Core web APIs and view their results."
244,AWS.Deploy.CLI,0.40.18,222444,System.CommandLine,Opinionated tooling that simplifies deployment of .NET applications with minimum AWS knowledge.
245,TSQLLint,1.16.0,221734,CommandLineParser,Package Description
246,AndroidSdk.Tool,0.34.0,218676,Spectre.Console.Cli,.NET tool for Android SDK management related tasks
247,fsdocs-tool,21.0.0,218621,CommandLineParser,The 'dotnet fsdocs' documentation generation tool for F# projects. Install use 'dotnet tool add fsdocs-tool'. See the project site for documentation.
248,dotnet-pgroutiner,5.4.0,217546,Unknown/Custom,A tool for PostgreSQL database-first development
249,Microsoft.Quantum.IQSharp,0.28.302812,216594,McMaster.Extensions.CommandLineUtils,Microsoft's IQ# Server.
250,trxml,0.23.42,216262,CommandLineParser,"Read a tree from stdin and write an XML represenation of it.
This program is part of the Trash toolkit."
251,Octopus.OctoNotes.Tool,1.0.87,215991,Unknown/Custom,"OctoNotes is a tool for generating release notes from Git repositories.

In a perfect, trunk-based world, there would be a single, linear graph between versions of an application. In the real world, however, that's almost never the case. Many releases will have hotfixes; many applications will have LTS branches or maintenance releases; not to mention pull requests and other reasons for branches, both short-lived and long.

OctoNotes takes a slightly different view of release notes. OctoNotes views the Git revision graph as the single source of truth. If a bug was fixed in a commit, that bug is only fixed in revisions containing that commit. If a feature was added between versions X and Y, it will appear in the Git revision graph as a commit somwehere between those two points.

By leveraging Git tags, OctoNotes can pinpoint precisely where in a Git revision graph a change was introduced, and provide the release notes for just the commits between two points on that graph."
252,Propulsion.Tool,3.0.0,215342,Argu,Efficient event streaming pipelines
253,DOS.CLI,0.0.22200.2,214028,System.CommandLine,"Console application to facilitate the creation, management of, and deployment of Data Marts and related components to the DOS platform."
254,DotSwashbuckle.AspNetCore.Cli,3.0.11,212754,Unknown/Custom,DotSwashbuckle (Swagger) Command Line Tools
255,Leprechaun.Cli,2.2.6,212542,Unknown/Custom,dotnet CLI tool for Leprechaun
256,dotnet-references,2.1.1,211324,McMaster.Extensions.CommandLineUtils,A dotnet global tool for manipulating references in solution and project files.
257,dotnet-vs,1.2.0,209212,Mono.Options / NDesk.Options,"A global tool for managing Visual Studio installations

Usage: vs [command] [options|-?|-h|--help] [--save=ALIAS [--global]]

Supported commands:
  alias       Shows the list of saved aliases
  client      Launches Visual Studio in client mode
  config      Opens the config folder.
  install     Installs a specific edition of Visual Studio.
  kill        Kills running devenv processes.
  log         Opens the folder containing the Activity.log file.
  modify      Modifies an installation of Visual Studio.
  run         This is default command, so typically it does not 
              need to be provided as an argument.
  update      Updates an installation of Visual Studio.
  where       Locates the installed version(s) of Visual Studio 
              that satisfy the requested requirements, optionally 
              retrieving installation properties from it.

See full documentation at https://clarius.org/dotnet-vs."
258,x,10.0.0,205014,Unknown/Custom,"Easily view and deploy any ServiceStack .NET Core Web App (Windows, OSX, Linux)"
259,Microsoft.CST.AttackSurfaceAnalyzer.CLI,2.3.331,202288,CommandLineParser,"Microsoft Attack Surface Analyzer is an open source security tool that analyzes the attack surface of a target system and reports on potential security vulnerabilities introduced during the installation of software or system misconfiguration. This is a Dotnet Tool package. For the library package, see Microsoft.CST.AttackSurfaceAnalyzer."
260,dotnet-file,1.7.3,201934,System.CommandLine; Mono.Options / NDesk.Options,A dotnet global tool for downloading and updating loose files from arbitrary URLs.
261,Ahsoka.CommandLine,5.14.0,201750,Unknown/Custom,Package Description
262,WolvenKit.CLI,8.17.1,199503,System.CommandLine,Command line modding tool for Cyberpunk 2077.
263,Aspire.Cli,13.2.0,197622,System.CommandLine,Command line tool for Aspire developers.
264,dotnet-zip,0.1.232,197167,System.CommandLine,"Create .zip files of your .NET Core projects straight from the command line.

Once you've installed this package as a .NET CLI tool, run dotnet zip to generate a .zip file which contains the publish output of your .NET Project.

See https://github.com/qmfrederik/dotnet-packaging/ for more information on how to use dotnet tarball."
265,fsharp-analyzers,0.36.0,196895,Argu,A dotnet CLI tool for running F# analyzers
266,Nox.Cli,8.0.13,196477,Spectre.Console.Cli,Nox CLI tool
267,azure-cost-cli,0.52.0,194832,Spectre.Console.Cli,Command line tool to get Azure cost information
268,Meziantou.Framework.NuGetPackageValidation.Tool,1.0.45,194590,System.CommandLine,CLI tool to validate NuGet packages follows best-practices
269,Kentico.Xperience.DbManager,31.3.1,191764,CommandLineParser,"Provides tooling to install, initialize and maintain databases for Xperience by Kentico projects."
270,Nake,4.0.0,190557,Unknown/Custom,Package Description
271,CodeFileSanity,0.0.40,190520,Unknown/Custom,Package Description
272,sfextract,2.3.0,190400,McMaster.Extensions.CommandLineUtils,A tool to extract the contents of a single file application to a directory.
273,NuGetForUnity.Cli,4.5.0,189022,Unknown/Custom,"A .NET Core Global Tool (Command-Line-Tool) that allows restoring NuGet packages managed by NuGetForUnity
before starting Unity e.g. before building a Unity project on a build server.
The tool only restores the NuGet packages, they are managed by the NuGetForUnity Unity Editor plug-in,
so you still need to install the NuGetForUnity tool in Unity to install new packages and to ensure that
e.g. the import settings of the DLL's are changed to comply with Unity."
274,Blobify,2026.2.11.541,188702,Spectre.Console.Cli,.NET Tool that archives local files to Azure Blob Storage
275,Meshmakers.Octo.ConstructionKit.Compiler,3.3.68,188583,Unknown/Custom,Octo Mesh Construction Kit Compiler
276,pkgchk-cli,1.0.3,188177,Spectre.Console.Cli,Tooling for .NET dependency checks
277,Barista,8.4.0,184769,System.CommandLine,Package Description
278,Microsoft.DotNet.ApiCompat.Tool,10.0.201,183880,System.CommandLine,Tool to perform api compatibility checks on assemblies and packages.
279,triconv,0.23.42,183201,CommandLineParser,"Test a file for proper Unicode.
This program is part of the Trash toolkit."
280,Kifa.Tools.FileUtil,5.5.5,181328,CommandLineParser,Utility to manage files.
281,NServiceBus.Transport.AzureServiceBus.CommandLine,6.2.1,181180,McMaster.Extensions.CommandLineUtils,.NET Core global tool to manage Azure Service Bus entities for NServiceBus endpoints
282,dotnet-trx,1.0.1,180241,Spectre.Console.Cli,Pretty-print test results in TRX format
283,altcover.visualizer,8.8.53,178201,Mono.Options / NDesk.Options,A cross-platform pre-instrumenting code coverage tool set for .net/.net core and Mono
284,h5.ElectronNET.CLI,22.0.0.34751,176934,Unknown/Custom,"Building cross platform electron based desktop apps with .NET Core and ASP.NET Core.
      This package contains the dotnet tooling to electronize your application."
285,DataBoss,0.0.117,175364,Unknown/Custom,Your data. Like a Boss.
286,trparse,0.23.42,174919,CommandLineParser,"Parses a file, arg, or stdin using a built-in or generated parser.
This program is part of the Trash toolkit."
287,trtext,0.23.42,174884,CommandLineParser,"Reads a tree from stdin and prints the source text. If 'line-number' is
specified, the line number range for the tree is printed.
This program is part of the Trash toolkit."
288,TimeItSharp,0.4.8,174357,System.CommandLine; CommandLineParser,Command execution time meter
289,trxgrep,0.23.42,174053,CommandLineParser,"Find all sub-trees in a parse tree using the given XPath expression.
This program is part of the Trash toolkit."
290,ghul.compiler,0.8.64,171046,Unknown/Custom,compiler for the ghūl programming language
291,DProjects.DIsh,2.0.1198,168898,Unknown/Custom,DProjects.DIsh
292,Metalama.Tool,2026.0.20,168687,Spectre.Console.Cli,A Metalama command line tool. Used for registering a license key or accessing some configuration settings.
293,dotnet-nosln,0.7.0,168314,Argu,A CLI tool used for generating solution files.
294,n3o-tool,1.2.22,167355,McMaster.Extensions.CommandLineUtils,The N3O dotnet tool
295,BundlerMinifier.Core.Tool,7.7.0,166288,Unknown/Custom,"Bundles and minifies CSS, JS and HTML files"
296,Amazon.Lambda.TestTool-5.0,0.14.1,166197,Unknown/Custom,A tool to help debug and test your .NET 5.0 AWS Lambda functions locally.
297,MapLargeInc.CLI,1.0.85,162181,System.CommandLine,MapLarge Command-line Interface dotnet tool
298,DependenSee,2.2.0,161726,PowerArgs,Dotnet Tool to visualize or export project and package dependencies.
299,CommandlineBatcher,9.6.2,158316,Unknown/Custom,Execute batches of multiple commands in a single command line.
300,ReGitLint,6.3.13,158110,ManyConsole; Mono.Options / NDesk.Options,Low friction code formatting for .net projects
301,Houston.CommandLine,1.1.81,158056,Unknown/Custom,Houston command line tool.
302,TopModel.Generator,3.9.4,158040,System.CommandLine; Spectre.Console.Cli,Générateur de modèle TopModel.
303,PlantUmlClassDiagramGenerator,1.4.0,157419,Unknown/Custom,This is a generator to create a class-diagram of PlantUML from the C# source code.
304,release-notes,0.10.0,157119,Argu,Generate release notes from closed github issues and PR's through the power of version labels
305,NetSparkleUpdater.Tools.AppCastGenerator,2.8.6,156135,CommandLineParser,Command line tool 'netsparkle-generate-appcast' to scan a directory for update files and generate appcast.xml. Can also be used to generate ed25519 keys/etc. for that app cast. Use in conjunction with the NetSparkleUpdater library.
306,dotnet-contracts-generate,4.1.0,155286,System.CommandLine; CommandLineParser,Package Description
307,Confix,1.7.0,152713,System.CommandLine,Package Description
308,NVika,4.0.0,151723,ManyConsole; Mono.Options / NDesk.Options,"Tool - Parse analysis reports (InspectCode, ...) and send messages to build server or console."
309,KubernetesCRDModelGen.Sync,1.2.9,151516,Unknown/Custom,Synchronizes Custom Resource Definitions from numerous sources
310,AutoSDK.CLI,0.30.0,151044,System.CommandLine,"Allows you to partially (for example, only models) or completely generate a native (without dependencies) C# client sdk according to the OpenAPI specification. Inspired by NSwag."
311,Microsoft.DataApiBuilder,1.7.92,150440,System.CommandLine; CommandLineParser,Data API builder for Azure Databases provides modern REST and GraphQL endpoints to your Azure Databases.
312,Corvus.Json.JsonSchema.TypeGeneratorTool,4.6.7,148134,Spectre.Console.Cli,Package Description
313,dotnet-json,1.1.4,145704,System.CommandLine,.NET Core global tool for manipulation JSON files.
314,QuestPDF.Previewer,2024.7.1,144804,Unknown/Custom,"QuestPDF is an open-source, modern and battle-tested library that can help you with generating PDF documents by offering friendly, discoverable and predictable C# fluent API."
315,ClangSharpPInvokeGenerator,21.1.8.3,143388,Unknown/Custom,"ClangSharp are strongly-typed safe Clang bindings written in C# for .NET and Mono, tested on Linux and Windows."
316,Firely.Terminal,3.5.0,143292,Unknown/Custom,"The FHIR Command Line Tool.
            FHIR client, FHIR Package management,
            JSON-XML Conversion, Resource resolving, Bundling,
            Quality Control, Query Language, Package Publication
            Simplifier.net project access and synchronization,
            Validation, Bulk Validation, Snapshot generation."
317,fsdgencsharp,2.38.0,142756,Unknown/Custom,A tool that generates C# for a Facility Service Definition.
318,goal,1.4.0,140786,Unknown/Custom,Package Description
319,XMLDoc2Markdown,5.0.0,138145,System.CommandLine,Tool to generate markdown from C# XML documentation.
320,protobuf-net.Protogen,3.2.52,137544,Unknown/Custom,Package Description
321,ppy.LocalisationAnalyser.Tools,2025.1208.0,137326,System.CommandLine,Package Description
322,DiffEngineTray,19.1.2,136570,Unknown/Custom,A utility that runs in the windows tray and handles the results of file differences.
323,DotVVM.CommandLine,4.3.12,136448,System.CommandLine,Command-line tools for DotVVM.
324,MLNet,16.2.0,136446,System.CommandLine,"A .NET Core command line tool to automatically build, train, and generate an ML.NET model and consumption code."
325,Microsoft.Coyote.CLI,1.7.11,136351,System.CommandLine,The Coyote .NET command-line tool.
326,linq2db.cli,6.2.1,135535,Unknown/Custom,LINQ to DB CLI is a dotnet tool for Linq To DB database model scaffolding.
327,auto-tester,1.0.62,135231,McMaster.Extensions.CommandLineUtils,.NET Core global tool continuous test runner that monitors and runs only the tests affected.
328,msharp-build,7.1.8,134966,Unknown/Custom,Provides build functionality for M# projects
329,Fixie.Console,4.2.0,134531,Unknown/Custom,`dotnet fixie` console test runner for the Fixie test framework.
330,EntityFrameworkCore.Generator,7.0.0,132865,McMaster.Extensions.CommandLineUtils,.NET Core command-line (CLI) tool to generate Entity Framework Core source files.
331,ChilliCream.Nitro.CLI,1.2.7,131636,System.CommandLine,Package Description
332,Myriad,0.8.3,131388,Argu,Myriad CLI tool
333,dotnet-tarball,0.1.232,131131,System.CommandLine,"Create tarballs (.tar.gz files) of your .NET Core projects straight from the command line.

Once you've installed this package as a .NET CLI tool, run dotnet tar to generate a .tar.gz file which contains the publish output of your .NET Project.

See https://github.com/qmfrederik/dotnet-packaging/ for more information on how to use dotnet tarball."
334,dotnet-config,1.2.0,130181,Mono.Options / NDesk.Options,"A global tool for managing hierarchical configurations for dotnet tools, using git config format."
335,xcodetool,11.24.2026.302,129931,Unknown/Custom,数据中间件，代码生成
336,databinding.LivingDoc.Report.CLI,7.2.3,128671,CommandLineParser,"livingdocreport -f outputname.json -r reportname.html -l de|en

		Don't add this package to your project. Install from commandline:
		dotnet tool install --global databinding.LivingDoc.Report.CLI"
337,trcover,0.23.42,127969,CommandLineParser,"Reads input files, and a generated parser, then analyzes the cover
for the entire grammar. This program is part of the Trash toolkit."
338,trcaret,0.23.42,126738,CommandLineParser,"Reads a tree from stdin and prints the source text. If 'line-number' is
specified, the line number range for the tree is printed.
This program is part of the Trash toolkit."
339,try-convert,0.9.232202,124633,System.CommandLine,Command line tool for converting a project to run under .NET Core.
340,assembly-differ,0.17.0,124532,Argu; Mono.Options / NDesk.Options,Diff assemblies and nuget packages
341,aspirate,9.1.0,122810,System.CommandLine,Automatic kustomize manifest generation for applications powered by the Microsoft .Net Aspire Cloud framework.
342,svgc,3.7.0,122441,System.CommandLine,An Svg drawing markup to C# code generator using SkiaSharp as rendering engine.
343,coalesce,6.3.0,122293,McMaster.Extensions.CommandLineUtils,".NET global/local tool for Coalesce code generation. For the `DotNetCliToolReference`-style
      tool, see https://www.nuget.org/packages/IntelliTect.Coalesce.Tools.

      Learn more at https://coalesce.intellitect.com/"
344,MASES.KNetCLI,3.2.1,121791,Unknown/Custom,"Command line interface of .NET suite for Apache Kafka. KNet is a comprehensive .NET suite for Apache Kafka providing all features: Producer, Consumer, Admin, Streams, Connect, backends (KRaft)."
345,NuGetDefense.Tool,4.1.4,121386,System.CommandLine,NuGetDefense was inspired by [OWASP SafeNuGet](https://nuget.org/packages/SafeNuGet/) but aims to check with multiple sources for known vulnerabilities.
346,dotnet-dev-certs,2.2.0,121150,Unknown/Custom,"Command line tool to generate certificates used in ASP.NET Core during development.

This package was built from the source code at https://github.com/aspnet/DotNetTools/tree/d745b8c161d42665ceb51597888062336fec7764"
347,DotNetTool.Builder,9.0.0,120042,System.CommandLine,This dotnet tool allows you creating your own dotnet tool based on Microsofts System.CommandLine.Experimental package.
348,Pharmacist,2.0.8,119791,CommandLineParser,Produces from NuGet packages or reference assemblies System.Reactive Observables for all events within the specified target.
349,Microsoft.CognitiveServices.Speech.CLI,1.48.2,118054,Unknown/Custom,Speech CLI (SPX) is a command line tool for using the Speech service without writing any code. See https://docs.microsoft.com/azure/cognitive-services/speech-service/spx-overview for more information.
350,dotnet-dynamodb-lock,0.0.4,117355,Unknown/Custom,Dotnet tool for acquiring/releasing locks in a DynamoDB table.
351,ModernUOSchemaGenerator,2.14.2,117021,System.CommandLine,CLI tool to create migration files for ModernUO Serialization
352,LibYear,9.0.2,116939,Spectre.Console.Cli,Package Description
353,Credfeto.Gallery.OutputBuilder,1.0.0.137,116320,Unknown/Custom,Photo Gallery Output Builder
354,Amazon.Lambda.TestTool-7.0,0.15.3,115300,Unknown/Custom,A tool to help debug and test your .NET 7.0 AWS Lambda functions locally.
355,dotnet-WireMock,2.0.0,115244,Unknown/Custom,A dotnet commandline tool for WireMock.Net (A Lightweight Http Mocking Server for .NET)
356,ib,5.14.23,114678,Unknown/Custom,Invoke-Build as dotnet tool ib
357,FlubuCore.GlobalTool,6.4.4,112713,McMaster.Extensions.CommandLineUtils,This package is deprecated use FlubuCore.Tool instead. Package was just renamed to FlubuCore.Tool because as of .Net Core 3.0 local and global tools exists.
358,dotnet-releaser,0.18.1,112520,Unknown/Custom,dotnet-releaser is an all-in-one command line tool that fully automates the release cycle of your .NET libraries and applications to NuGet and GitHub
359,fabulous-cli,1.1.0,111964,Unknown/Custom,.NET Core Global Tool for Fabulous - allows to send files to Fabulous.LiveUpdate
360,KubeOps.Cli,10.3.2,111817,System.CommandLine,"CLI Dotnet Tool for the Kubernetes Operator SDK.
            Helps with generating CRDs and other elements for the Operator."
361,ThirdLicense,1.4.0,109133,System.CommandLine,Generates transitive third-party license notice
362,mslack,1.0.4,108232,Cocona,Package Description
363,Intent.SoftwareFactory.CLI,4.6.2,108201,System.CommandLine,Package Description
364,TcpWtf.NumberSequence.Tool,5.4.0,107625,System.CommandLine,dotnet tool for the ns.tcp.wtf project.
365,WildernessLabs.Meadow.CLI,2.5.1,107367,CliFx,Command-line interface for Meadow
366,Covenant,0.24.0,107236,System.CommandLine,A dotnet tool that generate SBOM:s from source code artifacts.
367,Miru.Cli,0.17.1,106770,System.CommandLine,Package Description
368,dotnet-ilrepack,2.0.44,105214,Unknown/Custom,ILRepack - Open-source alternative to ILMerge
369,CSharpRepl,0.6.8,104857,System.CommandLine; Spectre.Console.Cli,"A dotnet global tool for a command line C# REPL with syntax highlighting. Explore the language, libraries and NuGet packages interactively."
370,Confluent.Apache.Avro.AvroGen,1.7.7.5,104782,Unknown/Custom,"Fork of the Apache Avro avrogen.exe tool, maintained by Confluent"
371,Aiwins.Rocket.Cli,8.0.5,104262,Unknown/Custom,Package Description
372,WireMockInspector,1.0.30,104117,System.CommandLine,WireMockInspect is a cross platform UI app that facilitates WireMock troubleshooting.
373,Runly.Cli,1.2.0,103485,System.CommandLine; CommandLineParser,CLI for managing Runly and running a node.
374,xmldocmd,2.9.0,102622,Unknown/Custom,A .NET tool that generates Markdown from .NET XML documentation comments.
375,MarkdownCodeEmbed,0.2.3,102541,CommandLineParser,"MarkdownCodeEmbed is a dotnet tool designed to embed source files into Markdown files.
Full documentation is available here: https://github.com/csharp-today/MarkdownCodeEmbed"
376,trrename,0.23.42,101836,CommandLineParser,"Rename a grammar symbol or symbols.
This program is part of the Trash toolkit."
377,Terrabuild,0.191.1,101170,Argu,Terrabuild
378,trtokens,0.23.42,100733,CommandLineParser,"Print out the tokens for the parse tree.
This program is part of the Trash toolkit."
379,trtree,0.23.42,100428,CommandLineParser,"Reads a tree from stdin and prints the tree as an indented node list.
This program is part of the Trash toolkit."
380,trsponge,0.23.42,100019,CommandLineParser,"Reads parse tree result from stdin and outputs files.
This program is part of the Trash toolkit."
381,dotnet-gcm,2.7.0,99457,System.CommandLine; Spectre.Console.Cli,A dotnet global tool for managing Git credentials using the Microsoft Git Credentials Manager Core.
382,nupkg-validator,0.10.1,98498,Argu,"Validates a NuGet packages, are dlls in Release Mode, do they have the right version and public key?"
383,UnderTest.FeatureLint,0.5.1,98255,CommandLineParser,Linter for gherkin feature files.
384,CodeCoverageExtractor,1.1.0,97902,Unknown/Custom,Package Description
385,FlowerBI.Tools,6.0.2,97281,Unknown/Custom,Command line tools for FlowerBI
386,dotnet-watch,2.2.0,97219,Unknown/Custom,"Command line tool to watch for source file changes during development and restart the dotnet command.

This package was built from the source code at https://github.com/aspnet/DotNetTools/tree/d745b8c161d42665ceb51597888062336fec7764"
387,LambdaSharp.Tool,0.8.4.1,96304,McMaster.Extensions.CommandLineUtils,Serverless .NET for AWS - Command Line Tool
388,trjson,0.23.42,94068,CommandLineParser,"Read a tree from stdin and write a JSON represenation of it.
This program is part of the Trash toolkit."
389,MonoRepo.DependencyManager,2025.5.271057,94028,CommandLineParser,Package Description
390,paket.bootstrapper,5.237.0,93229,Unknown/Custom,A dependency manager for .NET with support for NuGet packages and git repositories.
391,dscom,2.5.2,93051,System.CommandLine,dSPACE COM tools
392,seqcli,2025.2.2473,93037,Unknown/Custom,Package Description
393,cicee,2.0.0,92950,System.CommandLine,Continuous Integration Containerized Execution Environment
394,dotnet-warp,1.1.0,92938,McMaster.Extensions.CommandLineUtils,Pack .NET Core project to single executable using Warp
395,Aiursoft.NugetNinja.PrBot,10.0.51,92678,System.CommandLine,A bot for detecting dependencies of .NET projects and create pull requests automatically.
396,Ensconce.DotNetTool,1.31.0.940,92649,Unknown/Custom,Ensconce DotNet Tool
397,Credfeto.Tsql.Formatter.Cmd,0.1.6.178,92514,Cocona,TSQL Formatting tool
